file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\view\GestureDetector.java,android.view.GestureDetector$GestureHandler,innerclass,5,5,0,5,8,2,0,5,3,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,1,0,1,1,0,3,0,0,0,44,2,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\multivalentTests\src\com\android\systemui\statusbar\notification\row\NotifBindPipelineTest.java,com.android.systemui.statusbar.notification.row.NotifBindPipelineTest$TestBindStage,innerclass,5,5,0,5,5,2,0,3,4,0.5,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,1,1,0,0,0,0,0,1,0,1,1,0,0,1,32,10,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\tests\graphics\HwAccelerationTest\src\com\android\test\hwui\RevealActivity.java,com.android.test.hwui.RevealActivity,class,11,11,0,11,4,3,0,15,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,5,2,0,5,0,0,2,0,1,70,0,0,0,0,1,2,8,11,4,10,1,2,1,0,42,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\security\advancedprotection\features\MemoryTaggingExtensionHook.java,com.android.server.security.advancedprotection.features.MemoryTaggingExtensionHook,class,6,8,2,6,7,2,0,7,4,0.7,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,3,0,5,0,0,5,0,0,38,3,0,0,1,0,6,0,7,1,6,1,0,0,0,45,17,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SettingsLib\CollapsingToolbarBaseActivity\src\com\android\settingslib\collapsingtoolbar\CollapsingToolbarDelegate.java,com.android.settingslib.collapsingtoolbar.CollapsingToolbarDelegate$HostCallback,interface,5,5,0,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SettingsLib\DeviceStateRotationLock\src\com.android.settingslib.devicestate\AndroidSecureSettings.java,com.android.settingslib.devicestate.AndroidSecureSettings,class,3,4,1,3,4,1,0,4,0,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,21,0,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\broadcastradio\aidl\RadioModule.java,com.android.server.broadcastradio.aidl.RadioModule$AidlCallbackRunnable,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\tests\uiservicestests\src\com\android\server\notification\ReviewNotificationPermissionsReceiverTest.java,com.android.server.notification.ReviewNotificationPermissionsReceiverTest,class,9,9,0,9,7,3,0,8,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,66,0,0,0,0,0,0,0,2,0,2,0,0,1,0,33,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\tests\wmtests\src\com\android\server\wm\TaskStackChangedListenerTest.java,com.android.server.wm.TaskStackChangedListenerTest$ActivityRequestedOrientationChange,innerclass,1,1,0,1,1,3,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,9,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\services\core\java\com\android\server\graphics\fonts\FontManagerService.java,com.android.server.graphics.fonts.FontManagerService$FsverityUtilImpl,innerclass,2,2,0,2,8,1,0,5,4,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,30,4,1,1,1,0,2,0,3,2,3,3,0,0,0,39,10,0
